link_id,from_node_id,to_node_id,facility_type,dir_flag,length,lanes,capacity,free_speed,link_type_name,link_type,cost,geometry,macro_node_id,macro_link_id,meso_link_id,cell_type,additional_cost,mvmt_txt_id
0,0,1,,1,6.99,1,1900,60,,1,,"LINESTRING (-112.2164415 33.6539476, -112.2163939 33.6539965)",,1,0,1,0,
279,0,281,,1,7.82,1,1900,60,,1,,"LINESTRING (-112.2164415 33.6539476, -112.2163646 33.6539765)",,1,0,2,0,
1,1,2,,1,6.99,1,1900,60,,1,,"LINESTRING (-112.2163939 33.6539965, -112.2163462 33.6540453)",,1,0,1,0,
280,1,282,,1,7.82,1,1900,60,,1,,"LINESTRING (-112.2163939 33.6539965, -112.2163170 33.6540254)",,1,0,2,0,
2,2,3,,1,6.99,1,1900,60,,1,,"LINESTRING (-112.2163462 33.6540453, -112.2162985 33.6540942)",,1,0,1,0,
281,2,283,,1,7.82,1,1900,60,,1,,"LINESTRING (-112.2163462 33.6540453, -112.2162693 33.6540742)",,1,0,2,0,
3,3,4,,1,6.99,1,1900,60,,1,,"LINESTRING (-112.2162985 33.6540942, -112.2162509 33.6541430)",,1,0,1,0,
282,3,284,,1,7.82,1,1900,60,,1,,"LINESTRING (-112.2162985 33.6540942, -112.2162216 33.6541231)",,1,0,2,0,
4,4,5,,1,6.99,1,1900,60,,1,,"LINESTRING (-112.2162509 33.6541430, -112.2162032 33.6541919)",,1,0,1,0,
283,4,285,,1,7.82,1,1900,60,,1,,"LINESTRING (-112.2162509 33.6541430, -112.2161740 33.6541719)",,1,0,2,0,
5,5,6,,1,6.99,1,1900,60,,1,,"LINESTRING (-112.2162032 33.6541919, -112.2161556 33.6542407)",,1,0,1,0,
284,5,286,,1,7.82,1,1900,60,,1,,"LINESTRING (-112.2162032 33.6541919, -112.2161263 33.6542208)",,1,0,2,0,
6,6,7,,1,6.99,1,1900,60,,1,,"LINESTRING (-112.2161556 33.6542407, -112.2161079 33.6542896)",,1,0,1,0,
285,6,287,,1,7.82,1,1900,60,,1,,"LINESTRING (-112.2161556 33.6542407, -112.2160787 33.6542696)",,1,0,2,0,
7,7,8,,1,6.99,1,1900,60,,1,,"LINESTRING (-112.2161079 33.6542896, -112.2160602 33.6543384)",,1,0,1,0,
286,7,288,,1,7.82,1,1900,60,,1,,"LINESTRING (-112.2161079 33.6542896, -112.2160310 33.6543184)",,1,0,2,0,
8,8,9,,1,6.99,1,1900,60,,1,,"LINESTRING (-112.2160602 33.6543384, -112.2160126 33.6543872)",,1,0,1,0,
287,8,289,,1,7.82,1,1900,60,,1,,"LINESTRING (-112.2160602 33.6543384, -112.2159833 33.6543673)",,1,0,2,0,
